date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:21:51	61012/61012	---MCZ	200	added ('OK')	application/font-woff	etag:W/%2267272518-ee54%22	https://undgn.id/silvi-aldi/css/font/fonts/LeJourScript.woff	C:/My%20Web%20Sites/tes/undgn.id/silvi-aldi/css/font/fonts/LeJourScript.woff	(from https://undgn.id/silvi-aldi/?to=X+MIPA+2)
23:21:51	318176/318176	---M--	200	added ('OK')	application/octet-stream	etag:%2267272518-4dae0%22	https://undgn.id/silvi-aldi/css/font/fonts/LeJourScript.otf	C:/My%20Web%20Sites/tes/undgn.id/silvi-aldi/css/font/fonts/LeJourScript.otf	(from https://undgn.id/silvi-aldi/?to=X+MIPA+2)
23:21:51	169624/169624	---M--	200	added ('OK')	application/octet-stream	etag:%2267272518-29698%22	https://undgn.id/silvi-aldi/css/font/fonts/LeJourScript.ttf	C:/My%20Web%20Sites/tes/undgn.id/silvi-aldi/css/font/fonts/LeJourScript.ttf	(from https://undgn.id/silvi-aldi/?to=X+MIPA+2)
23:21:52	210468/210468	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2267272518-33624%22	https://undgn.id/silvi-aldi/css/font/fonts/PlayfairDisplay-Regular.eot	C:/My%20Web%20Sites/tes/undgn.id/silvi-aldi/css/font/fonts/PlayfairDisplay-Regular.eot	(from https://undgn.id/silvi-aldi/?to=X+MIPA+2)
23:21:52	70876/70876	---M--	200	added ('OK')	application/octet-stream	etag:%2267272518-114dc%22	https://undgn.id/silvi-aldi/css/font/fonts/PlayfairDisplay-Regular.woff2	C:/My%20Web%20Sites/tes/undgn.id/silvi-aldi/css/font/fonts/PlayfairDisplay-Regular.woff2	(from https://undgn.id/silvi-aldi/?to=X+MIPA+2)
23:21:52	104116/104116	---MCZ	200	added ('OK')	application/font-woff	etag:W/%2267272518-196b4%22	https://undgn.id/silvi-aldi/css/font/fonts/PlayfairDisplay-Regular.woff	C:/My%20Web%20Sites/tes/undgn.id/silvi-aldi/css/font/fonts/PlayfairDisplay-Regular.woff	(from https://undgn.id/silvi-aldi/?to=X+MIPA+2)
23:21:52	377192/377192	---M--	200	added ('OK')	application/octet-stream	etag:%2267272518-5c168%22	https://undgn.id/silvi-aldi/css/font/fonts/PlayfairDisplay-Regular.otf	C:/My%20Web%20Sites/tes/undgn.id/silvi-aldi/css/font/fonts/PlayfairDisplay-Regular.otf	(from https://undgn.id/silvi-aldi/?to=X+MIPA+2)
23:21:52	210208/210208	---M--	200	added ('OK')	application/octet-stream	etag:%2267272518-33520%22	https://undgn.id/silvi-aldi/css/font/fonts/PlayfairDisplay-Regular.ttf	C:/My%20Web%20Sites/tes/undgn.id/silvi-aldi/css/font/fonts/PlayfairDisplay-Regular.ttf	(from https://undgn.id/silvi-aldi/?to=X+MIPA+2)
23:21:53	112172/112172	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2267272518-1b62c%22	https://undgn.id/silvi-aldi/css/font/fonts/Sacramento.eot	C:/My%20Web%20Sites/tes/undgn.id/silvi-aldi/css/font/fonts/Sacramento.eot	(from https://undgn.id/silvi-aldi/?to=X+MIPA+2)
23:21:53	29016/29016	---M--	200	added ('OK')	application/octet-stream	etag:%2267272518-7158%22	https://undgn.id/silvi-aldi/css/font/fonts/Sacramento.woff2	C:/My%20Web%20Sites/tes/undgn.id/silvi-aldi/css/font/fonts/Sacramento.woff2	(from https://undgn.id/silvi-aldi/?to=X+MIPA+2)
23:21:53	36288/36288	---MCZ	200	added ('OK')	application/font-woff	etag:W/%2267272518-8dc0%22	https://undgn.id/silvi-aldi/css/font/fonts/Sacramento.woff	C:/My%20Web%20Sites/tes/undgn.id/silvi-aldi/css/font/fonts/Sacramento.woff	(from https://undgn.id/silvi-aldi/?to=X+MIPA+2)
23:21:53	279108/279108	---M--	200	added ('OK')	application/octet-stream	etag:%2267272518-44244%22	https://undgn.id/silvi-aldi/css/font/fonts/Sacramento.otf	C:/My%20Web%20Sites/tes/undgn.id/silvi-aldi/css/font/fonts/Sacramento.otf	(from https://undgn.id/silvi-aldi/?to=X+MIPA+2)
